"query_num","query_type","category","description","sql_snippet","full_sql"
"11","TPC-H","Subqueries & Semi-Joins","Important Stock Identification - HAVING with subquery threshold comparison","SELECT ps_partkey, SUM(ps_supplycost * ps_availqty) FROM PARTSUPP HAVING SUM(...) > (SELECT SUM(...) * 0.0001)","select
	ps_partkey,
	sum(ps_supplycost * ps_availqty) as value
from partSUPP,
	supplier,
	nation
where
	ps_suppkey = s_suppkey
	and s_nationkey = n_nationkey
	and n_name = 'GERMANY'
group by
	ps_partkey having
		sum(ps_supplycost * ps_availqty) > (
			select
				sum(ps_supplycost * ps_availqty) * 0.0001
			from partSUPP,
				supplier,
				nation
			where
				ps_suppkey = s_suppkey
				and s_nationkey = n_nationkey
				and n_name = 'GERMANY'
		)
order by
	value desc;"
"12","TPC-H","Basic Joins (2-4 tables)","Shipping Modes and Order Priority - 2-way join with CASE aggregations","SELECT l_shipmode, SUM(CASE WHEN o_orderpriority IN ('1-URGENT','2-HIGH') THEN 1 END) FROM ORDERS, LINEITEM","select
	l_shipmode,
	sum(case
		when o_orderpriority = '1-URGENT'
			or o_orderpriority = '2-HIGH'
			then 1
		else 0
	end) as high_line_count,
	sum(case
		when o_orderpriority <> '1-URGENT'
			and o_orderpriority <> '2-HIGH'
			then 1
		else 0
	end) as low_line_count
from orders,
	lineitem
where
	o_orderkey = l_orderkey
	and l_shipmode in ('MAIL', 'SHIP')
	and l_commitdate < l_receiptdate
	and l_shipdate < l_commitdate
	and l_receiptdate >= date '1994-01-01'
	and l_receiptdate < date '1994-01-01' + INTERVAL 1 year
group by
	l_shipmode
order by
	l_shipmode;"
"13","TPC-H","Advanced Patterns","Customer Distribution - LEFT JOIN with double aggregation and NULL handling","SELECT c_count, COUNT(*) FROM (SELECT c_custkey, COUNT(o_orderkey) FROM CUSTOMER LEFT JOIN ORDERS...)","select
	c_count,
	count(*) as custdist
from
	(
		select
			c_custkey,
			count(o_orderkey)
		from customer left outer join orders on
				c_custkey = o_custkey
				and o_comment not like '%special%requests%'
		group by
			c_custkey
	) as c_orders (c_custkey, c_count)
group by
	c_count
order by
	custdist desc,
	c_count desc;"
"14","TPC-H","Basic Joins (2-4 tables)","Promotion Effect - 2-way join calculating promotion revenue percentage","SELECT 100.00 * SUM(CASE WHEN p_type LIKE 'PROMO%' THEN ... END) / SUM(...) FROM LINEITEM, PART","select
	100.00 * sum(case
		when p_type like 'PROMO%'
			then l_extendedprice * (1 - l_discount)
		else 0
	end) / sum(l_extendedprice * (1 - l_discount)) as promo_revenue
from lineitem,
	part
where
	l_partkey = p_partkey
	and l_shipdate >= date '1995-09-01'
	and l_shipdate < date '1995-09-01' + INTERVAL 1 month;"
"15","TPC-H","Advanced Patterns","Top Supplier Query - CTE with MAX subquery for top revenue supplier","WITH revenue0 AS (SELECT l_suppkey, SUM(...) FROM LINEITEM...) SELECT s_suppkey, s_name... WHERE total_revenue = (SELECT MAX...)","WITH revenue0 (supplier_no, total_revenue) AS (
-- Adapted for Databricks from Snowflake TPC-H query
-- Catalog: ${DATABRICKS_CATALOG}
-- Schema: benchmark
-- Scale Factor: SF1000 (1TB)
--

select
		l_suppkey,
		sum(l_extendedprice * (1 - l_discount))
	from lineitem
	where
		l_shipdate >= date '1996-01-01'
		and l_shipdate < date '1996-01-01' + INTERVAL 3 month
	group by
		l_suppkey
)
select
	s_suppkey,
	s_name,
	s_address,
	s_phone,
	total_revenue
from supplier,
	revenue0
where
	s_suppkey = supplier_no
	and total_revenue = (
		select
			max(total_revenue)
		from
			revenue0
	)
order by
	s_suppkey"
"16","TPC-H","Subqueries & Semi-Joins","Parts/Supplier Relationship - NOT IN subquery with DISTINCT COUNT","SELECT p_brand, p_type, p_size, COUNT(DISTINCT ps_suppkey) FROM PARTSUPP, PART WHERE ps_suppkey NOT IN (SELECT...)","select
	p_brand,
	p_type,
	p_size,
	count(distinct ps_suppkey) as supplier_cnt
from partSUPP,
	part
where
	p_partkey = ps_partkey
	and p_brand <> 'Brand#45'
	and p_type not like 'MEDIUM POLISHED%'
	and p_size in (49, 14, 23, 45, 19, 3, 36, 9)
	and ps_suppkey not in (
		select
			s_suppkey
		from supplier
		where
			s_comment like '%Customer%Complaints%'
	)
group by
	p_brand,
	p_type,
	p_size
order by
	supplier_cnt desc,
	p_brand,
	p_type,
	p_size;"
"17","TPC-H","Correlated & Nested Subqueries","Small-Quantity-Order Revenue - correlated subquery comparing to AVG","SELECT SUM(l_extendedprice) / 7.0 FROM LINEITEM, PART WHERE l_quantity < (SELECT 0.2 * AVG(l_quantity)...)","select
	sum(l_extendedprice) / 7.0 as avg_yearly
from lineitem,
	part
where
	p_partkey = l_partkey
	and p_brand = 'Brand#23'
	and p_container = 'MED BOX'
	and l_quantity < (
		select
			0.2 * avg(l_quantity)
		from lineitem
		where
			l_partkey = p_partkey
	);"
"18","TPC-H","Subqueries & Semi-Joins","Large Volume Customer - IN subquery with HAVING filter for large orders","SELECT c_name, c_custkey, o_orderkey... WHERE o_orderkey IN (SELECT l_orderkey FROM LINEITEM HAVING SUM(l_quantity) > 300)","select
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice,
	sum(l_quantity)
from customer,
	orders,
	lineitem
where
	o_orderkey in (
		select
			l_orderkey
		from lineitem
		group by
			l_orderkey having
				sum(l_quantity) > 300
	)
	and c_custkey = o_custkey
	and o_orderkey = l_orderkey
group by
	c_name,
	c_custkey,
	o_orderkey,
	o_orderdate,
	o_totalprice
order by
	o_totalprice desc,
	o_orderdate;"
"19","TPC-H","Basic Joins (2-4 tables)","Discounted Revenue - 2-way join with complex OR conditions across predicates","SELECT SUM(l_extendedprice * (1 - l_discount)) FROM LINEITEM, PART WHERE (p_brand='Brand#12' AND p_container IN...) OR...","select
	sum(l_extendedprice* (1 - l_discount)) as revenue
from lineitem,
	part
where
	(
		p_partkey = l_partkey
		and p_brand = 'Brand#12'
		and p_container in ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')
		and l_quantity >= 1 and l_quantity <= 1 + 10
		and p_size between 1 and 5
		and l_shipmode in ('AIR', 'AIR REG')
		and l_shipinstruct = 'DELIVER IN PERSON'
	)
	or
	(
		p_partkey = l_partkey
		and p_brand = 'Brand#23'
		and p_container in ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')
		and l_quantity >= 10 and l_quantity <= 10 + 10
		and p_size between 1 and 10
		and l_shipmode in ('AIR', 'AIR REG')
		and l_shipinstruct = 'DELIVER IN PERSON'
	)
	or
	(
		p_partkey = l_partkey
		and p_brand = 'Brand#34'
		and p_container in ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')
		and l_quantity >= 20 and l_quantity <= 20 + 10
		and p_size between 1 and 15
		and l_shipmode in ('AIR', 'AIR REG')
		and l_shipinstruct = 'DELIVER IN PERSON'
	);"
"20","TPC-H","Correlated & Nested Subqueries","Potential Part Promotion - 3-level nested IN subqueries with correlation","SELECT s_name, s_address FROM SUPPLIER WHERE s_suppkey IN (SELECT ps_suppkey WHERE ps_partkey IN (SELECT p_partkey...))","select
	s_name,
	s_address
from supplier,
	nation
where
	s_suppkey in (
		select
			ps_suppkey
		from partSUPP
		where
			ps_partkey in (
				select
					p_partkey
				from part
				where
					p_name like 'forest%'
			)
			and ps_availqty > (
				select
					0.5 * sum(l_quantity)
				from lineitem
				where
					l_partkey = ps_partkey
					and l_suppkey = ps_suppkey
					and l_shipdate >= date '1994-01-01'
					and l_shipdate < date '1994-01-01' + INTERVAL 1 year
			)
	)
	and s_nationkey = n_nationkey
	and n_name = 'CANADA'
order by
	s_name;"
"21","TPC-H","Advanced Patterns","Suppliers Who Kept Orders Waiting - EXISTS and NOT EXISTS with self-joins","SELECT s_name, COUNT(*) FROM SUPPLIER, LINEITEM l1, ORDERS WHERE EXISTS (SELECT * FROM l2...) AND NOT EXISTS (SELECT * FROM l3...)","select
	s_name,
	count(*) as numwait
from supplier,
	lineitem l1,
	orders,
	nation
where
	s_suppkey = l1.l_suppkey
	and o_orderkey = l1.l_orderkey
	and o_orderstatus = 'F'
	and l1.l_receiptdate > l1.l_commitdate
	and exists (
		select
			*
		from lineitem l2
		where
			l2.l_orderkey = l1.l_orderkey
			and l2.l_suppkey <> l1.l_suppkey
	)
	and not exists (
		select
			*
		from lineitem l3
		where
			l3.l_orderkey = l1.l_orderkey
			and l3.l_suppkey <> l1.l_suppkey
			and l3.l_receiptdate > l3.l_commitdate
	)
	and s_nationkey = n_nationkey
	and n_name = 'SAUDI ARABIA'
group by
	s_name
order by
	numwait desc,
	s_name;"
"22","TPC-H","Correlated & Nested Subqueries","Global Sales Opportunity - NOT EXISTS with nested subquery for dormant customers","SELECT cntrycode, COUNT(*), SUM(c_acctbal) FROM (SELECT SUBSTR(c_phone,1,2), c_acctbal WHERE c_acctbal > (SELECT AVG...) AND NOT EXISTS...)","select
	cntrycode,
	count(*) as numcust,
	sum(c_acctbal) as totacctbal
from
	(
		select
			SUBSTR(c_phone, 1, 2) as cntrycode,
			c_acctbal
		from customer
		where
			SUBSTR(c_phone, 1, 2) in
				('13', '31', '23', '29', '30', '18', '17')
			and c_acctbal > (
				select
					avg(c_acctbal)
				from customer
				where
					c_acctbal > 0.00
					and SUBSTR(c_phone, 1, 2) in
						('13', '31', '23', '29', '30', '18', '17')
			)
			and not exists (
				select
					*
				from orders
				where
					o_custkey = c_custkey
			)
	) as custsale
group by
	cntrycode
order by
	cntrycode;"
